,Channel1,Channel2,Channel3,Channel4
256,0,0.16,-0.16,-0.32
257,0.08,0.16,-0.08,-0.24
258,0,0.16,-0.16,-0.4
259,0.08,0.16,-0.08,-0.24
260,0,0.16,-0.16,-0.32
261,0.08,0.16,-0.08,-0.24
262,0,0.16,-0.16,-0.32
263,0.08,0.16,-0.08,-0.24
264,0,0.16,-0.16,-0.32
265,0.08,0.16,-0.08,-0.24
266,0,0.16,-0.16,-0.32
267,4.32,0.16,-0.08,-0.16
268,-1.52,0.16,-0.16,-0.4
269,0.08,0.24,-0.08,-0.24
270,0,0.16,-0.16,-0.32
271,0.08,0.16,-0.08,4
272,-0.08,0.16,-0.16,-1.84
273,0.08,0.16,-0.08,-0.24
274,0,0.16,-0.16,-0.4
275,0.08,0.16,-0.08,-0.24
276,0,0.16,-0.16,-0.32
277,0.08,0.16,-0.08,-0.24
278,0,0.16,-0.16,-0.32
279,0.08,0.16,-0.08,-0.24
280,0,0.16,-0.16,-0.32
281,0.08,0.16,-0.08,-0.24
282,0,0.08,-0.16,-0.32
283,0.08,0.16,-0.08,-0.24
284,0,0.16,-0.16,-0.32
285,4.32,0.16,-0.08,-0.16
286,-1.52,0.08,-0.16,-0.4
287,0.08,0.16,-0.08,-0.24
288,0,0.16,-0.16,-0.32
289,0.08,0.16,-0.08,-0.24
290,0,0.16,-0.16,-0.32
291,0.08,0.16,-0.08,4
292,-0.08,0.08,-0.16,-1.84
293,0.08,0.16,-0.08,-0.24
294,0,0.16,-0.16,-0.32
295,0.08,0.16,-0.08,-0.24
296,0,0.16,-0.16,-0.32
297,0.08,0.16,-0.08,-0.24
298,0,0.16,-0.16,-0.32
299,0.08,0.16,-0.08,-0.24
300,0,0.16,-0.16,-0.32
301,4.32,0.16,-0.08,-0.16
302,-1.52,0.16,-0.16,-0.4
303,0.08,0.16,-0.08,-0.24
304,0,0.16,-0.16,-0.32
305,0.08,0.16,-0.08,-0.24
306,0,0.16,-0.16,-0.32
307,0.08,0.16,-0.08,-0.24
308,0,0.16,-0.16,-0.32
309,0.08,0.16,-0.08,-0.24
310,0,0.16,-0.16,-0.32
311,0.16,0.16,-0.08,4
312,-0.08,0.16,-0.16,-1.84
313,0.08,0.16,-0.08,-0.24
314,0,0.08,-0.16,-0.32
315,0.08,0.16,-0.08,-0.24
316,0,0.16,-0.16,-0.32
317,4.32,0.16,-0.08,-0.16
318,-1.52,0.16,-0.16,-0.4
319,0.08,0.16,-0.08,-0.24
320,0,0.16,-0.16,-0.32
321,0.08,0.16,-0.08,-0.24
322,0,0.08,-0.16,-0.32
323,0.08,0.16,-0.08,-0.24
324,0,0.16,-0.16,-0.32
325,0.08,0.16,-0.08,-0.24
326,0,0.16,-0.16,-0.32
327,0.08,0.16,-0.08,-0.24
328,0,0.16,-0.16,-0.32
329,0.08,0.16,-0.08,-0.24
330,0,0.16,-0.16,-0.32
331,0.16,0.16,-0.08,4
332,-0.08,0.16,-0.16,-1.84
333,0.08,0.16,-0.08,-0.24
334,0,0.16,-0.16,-0.32
335,4.32,0.16,-0.08,-0.16
336,-1.52,0.16,-0.16,-0.4
337,0.08,0.16,-0.08,-0.24
338,0,0.16,-0.16,-0.32
339,0.08,0.16,-0.08,-0.24
340,0,0.16,-0.16,-0.32
341,0.08,0.16,-0.08,-0.24
342,0,0.08,-0.16,-0.32
343,0.08,0.16,-0.08,-0.24
344,0,0.08,-0.16,-0.32
345,0.08,0.16,-0.08,-0.24
346,0,0.16,-0.16,-0.32
347,0.08,0.16,-0.08,-0.24
348,0,0.08,-0.16,-0.32
349,0.08,0.16,-0.08,-0.24
350,0,0.16,-0.16,-0.32
